Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0051536~iron-sulfur cluster binding	12	1.4354066985645932	1.8805015243065694E-5	SINMEB_1153, SINMEB_2275, SINMEB_2274, SINMEB_0804, SINMEB_1051, SINMEB_0442, SINMEB_1479, SINMEB_2820, SINMEB_1803, SINMEB_0558, SINMEB_2405, SINMEB_6270	430	22	3453	4.380126849894292	0.005345143348759018	0.005359429344273723	0.005359429344273723
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	16	1.9138755980861244	2.518698724686445E-4	SINMEB_3164, SINMEB_3031, SINMEB_5276, SINMEB_2652, SINMEB_1012, SINMEB_3286, SINMEB_1385, SINMEB_3162, SINMEB_1876, SINMEB_0654, SINMEB_1654, SINMEB_0047, SINMEB_3028, SINMEB_0884, SINMEB_0642, SINMEB_0406	192	41	1339	2.721544715447154	0.018468054514509613	0.018638370562679692	0.018638370562679692
GOTERM_BP_DIRECT	GO:0016226~iron-sulfur cluster assembly	6	0.7177033492822966	5.280106623073836E-4	SINMEB_1153, SINMEB_1482, SINMEB_1051, SINMEB_0442, SINMEB_1484, SINMEB_1479	256	7	2016	6.75	0.08732001474584483	0.09081783391686998	0.09081783391686998
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	16	1.9138755980861244	0.003399111228338302	SINMEB_0991, SINMEB_0980, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_0759, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1977, SINMEB_1878, SINMEB_0987	311	56	2419	2.2223242994947174	0.13029478196041977	0.06658996602110467	0.0649658205083948
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	16	1.9138755980861244	0.003399111228338302	SINMEB_0991, SINMEB_0980, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_0759, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1977, SINMEB_1878, SINMEB_0987	311	56	2419	2.2223242994947174	0.13029478196041977	0.06658996602110467	0.0649658205083948
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	15	1.7942583732057416	0.004095299974155466	SINMEB_0991, SINMEB_0980, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_0759, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878, SINMEB_0987	430	53	3453	2.2727073277753402	0.6894955276202825	0.5835802463171539	0.5835802463171539
UP_KW_MOLECULAR_FUNCTION	KW-0720~Serine protease	6	0.7177033492822966	0.00487243653812961	SINMEB_0882, SINMEB_1012, SINMEB_3617, SINMEB_0884, SINMEB_0642, SINMEB_2208	311	10	2419	4.666881028938907	0.1814805895789552	0.06658996602110467	0.0649658205083948
GOTERM_BP_DIRECT	GO:0006412~translation	15	1.7942583732057416	0.01683838106029422	SINMEB_0991, SINMEB_0980, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_0759, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878, SINMEB_0987	256	61	2016	1.9364754098360655	0.9470201803035185	1.0	1.0
UP_KW_LIGAND	KW-0408~Iron	31	3.7081339712918657	0.01884164325753262	SINMEB_0442, SINMEB_2344, SINMEB_0541, SINMEB_6344, SINMEB_0309, SINMEB_0804, SINMEB_1037, SINMEB_2346, SINMEB_0103, SINMEB_3831, SINMEB_6209, SINMEB_2405, SINMEB_0591, SINMEB_2275, SINMEB_3001, SINMEB_0590, SINMEB_0452, SINMEB_2433, SINMEB_6178, SINMEB_2772, SINMEB_4491, SINMEB_4272, SINMEB_6176, SINMEB_1082, SINMEB_2939, SINMEB_2898, SINMEB_2837, SINMEB_2835, SINMEB_0337, SINMEB_0558, SINMEB_4659	136	154	985	1.457935446906035	0.42398458174416587	0.546407654468446	0.546407654468446
GOTERM_MF_DIRECT	GO:0008233~peptidase activity	7	0.8373205741626795	0.023324669900407092	SINMEB_3164, SINMEB_5551, SINMEB_1012, SINMEB_1117, SINMEB_2017, SINMEB_0733, SINMEB_1118	430	19	3453	2.9585067319461444	0.9988010194821817	1.0	1.0
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	10	1.1961722488038278	0.028152378567754075	SINMEB_0759, SINMEB_0991, SINMEB_0980, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_0987	430	36	3453	2.2306201550387597	0.999707934551526	1.0	1.0
GOTERM_MF_DIRECT	GO:0004176~ATP-dependent peptidase activity	4	0.4784688995215311	0.02853722120226842	SINMEB_0882, SINMEB_0461, SINMEB_0884, SINMEB_2208	430	6	3453	5.3534883720930235	0.9997391101700223	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0645~Protease	17	2.0334928229665072	0.031146398115890615	SINMEB_3256, SINMEB_3164, SINMEB_4242, SINMEB_1981, SINMEB_0882, SINMEB_5551, SINMEB_1012, SINMEB_3162, SINMEB_1117, SINMEB_3617, SINMEB_0884, SINMEB_1279, SINMEB_0642, SINMEB_0733, SINMEB_2208, SINMEB_1636, SINMEB_1118	311	77	2419	1.7172505950641	0.7267347014843523	0.3192505806878788	0.31146398115890617
INTERPRO	IPR003959:ATPase, AAA-type, core	5	0.5980861244019139	0.03956725877660673	SINMEB_3164, SINMEB_4473, SINMEB_2221, SINMEB_0884, SINMEB_1118	616	11	4890	3.6083234946871303	1.0	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	10	1.1961722488038278	0.04590388167482509	SINMEB_0759, SINMEB_0991, SINMEB_0980, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_0987	311	38	2419	2.0468776442714502	0.8543611345137602	0.37641182973356574	0.36723105339860074
INTERPRO	IPR009642:Protein of unknown function DUF1236	4	0.4784688995215311	0.04692705314778314	SINMEB_4226, SINMEB_4917, SINMEB_1430, SINMEB_2161	616	7	4890	4.53617810760668	1.0	1.0	1.0
UP_KW_LIGAND	KW-0411~Iron-sulfur	17	2.0334928229665072	0.049072059907116196	SINMEB_2275, SINMEB_3001, SINMEB_0452, SINMEB_2433, SINMEB_6178, SINMEB_0541, SINMEB_0442, SINMEB_6344, SINMEB_1082, SINMEB_0804, SINMEB_0309, SINMEB_1037, SINMEB_2837, SINMEB_2835, SINMEB_0558, SINMEB_6209, SINMEB_2405	136	77	985	1.5990259740259738	0.767576181575592	0.7115448686531849	0.7115448686531849
GOTERM_MF_DIRECT	GO:0050660~flavin adenine dinucleotide binding	10	1.1961722488038278	0.052369028415381255	SINMEB_1087, SINMEB_0041, SINMEB_1175, SINMEB_0154, SINMEB_3209, SINMEB_0487, SINMEB_1411, SINMEB_1604, SINMEB_0404, SINMEB_1080	430	40	3453	2.0075581395348836	0.9999997801202548	1.0	1.0
GOTERM_CC_DIRECT	GO:0005840~ribosome	11	1.3157894736842104	0.057649820841426544	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_3014, SINMEB_0990, SINMEB_1000, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_1977, SINMEB_1878	263	44	1971	1.873574144486692	0.8315893609676294	1.0	1.0
UP_SEQ_FEATURE	REGION:Disordered	95	11.363636363636363	0.06570840199769125	SINMEB_0041, SINMEB_5654, SINMEB_1052, SINMEB_1370, SINMEB_3031, SINMEB_3592, SINMEB_1971, SINMEB_0442, SINMEB_2146, SINMEB_1931, SINMEB_4727, SINMEB_3759, SINMEB_0642, SINMEB_2346, SINMEB_0884, SINMEB_1972, SINMEB_1576, SINMEB_4601, SINMEB_0329, SINMEB_4603, SINMEB_4328, SINMEB_2451, SINMEB_2251, SINMEB_3224, SINMEB_1162, SINMEB_2250, SINMEB_0354, SINMEB_4990, SINMEB_0398, SINMEB_0395, SINMEB_5443, SINMEB_0990, SINMEB_4272, SINMEB_3184, SINMEB_0759, SINMEB_1727, SINMEB_4957, SINMEB_2217, SINMEB_1006, SINMEB_0355, SINMEB_2258, SINMEB_3788, SINMEB_4955, SINMEB_4834, SINMEB_0557, SINMEB_1646, SINMEB_0380, SINMEB_2961, SINMEB_2125, SINMEB_1871, SINMEB_3252, SINMEB_3014, SINMEB_1077, SINMEB_3092, SINMEB_5471, SINMEB_5472, SINMEB_2927, SINMEB_2728, SINMEB_0709, SINMEB_1117, SINMEB_2249, SINMEB_0545, SINMEB_0620, SINMEB_4029, SINMEB_3655, SINMEB_1878, SINMEB_1118, SINMEB_0987, SINMEB_1635, SINMEB_1910, SINMEB_1877, SINMEB_6358, SINMEB_1263, SINMEB_2275, SINMEB_3366, SINMEB_3961, SINMEB_5501, SINMEB_3521, SINMEB_1784, SINMEB_1069, SINMEB_3286, SINMEB_1100, SINMEB_6196, SINMEB_1061, SINMEB_2712, SINMEB_2117, SINMEB_3728, SINMEB_3127, SINMEB_6637, SINMEB_0934, SINMEB_0733, SINMEB_2835, SINMEB_4659, SINMEB_1624, SINMEB_2834	565	629	4346	1.161754153945721	0.9999999999999999	1.0	1.0
GOTERM_MF_DIRECT	GO:0004497~monooxygenase activity	4	0.4784688995215311	0.06610873396232213	SINMEB_4751, SINMEB_1502, SINMEB_2248, SINMEB_4471	430	8	3453	4.015116279069767	0.9999999965766647	1.0	1.0
GOTERM_BP_DIRECT	GO:0006099~tricarboxylic acid cycle	5	0.5980861244019139	0.07085156300234859	SINMEB_3001, SINMEB_2883, SINMEB_2882, SINMEB_2881, SINMEB_2898	256	13	2016	3.028846153846154	0.9999969889191602	1.0	1.0
GOTERM_MF_DIRECT	GO:0004252~serine-type endopeptidase activity	6	0.7177033492822966	0.0768426468474268	SINMEB_0882, SINMEB_0461, SINMEB_1012, SINMEB_0884, SINMEB_0642, SINMEB_2208	430	19	3453	2.5358629130966954	0.9999999998730642	1.0	1.0
SMART	SM00559:Ku78	3	0.3588516746411483	0.07705929658612475	SINMEB_4990, SINMEB_4834, SINMEB_4989	134	4	1075	6.016791044776118	0.9990664865792193	1.0	1.0
GOTERM_MF_DIRECT	GO:0003690~double-stranded DNA binding	3	0.3588516746411483	0.07788229868606128	SINMEB_4990, SINMEB_4834, SINMEB_4989	430	4	3453	6.022674418604652	0.9999999999079312	1.0	1.0
INTERPRO	IPR016194:SPOC like C-terminal domain	3	0.3588516746411483	0.07966655553128402	SINMEB_4990, SINMEB_4834, SINMEB_4989	616	4	4890	5.953733766233766	1.0	1.0	1.0
INTERPRO	IPR009187:Predicted Ku, prokaryotic type	3	0.3588516746411483	0.07966655553128402	SINMEB_4990, SINMEB_4834, SINMEB_4989	616	4	4890	5.953733766233766	1.0	1.0	1.0
INTERPRO	IPR001492:Flagellin	3	0.3588516746411483	0.07966655553128402	SINMEB_0277, SINMEB_0278, SINMEB_0279	616	4	4890	5.953733766233766	1.0	1.0	1.0
INTERPRO	IPR006164:Ku70/Ku80 beta-barrel domain	3	0.3588516746411483	0.07966655553128402	SINMEB_4990, SINMEB_4834, SINMEB_4989	616	4	4890	5.953733766233766	1.0	1.0	1.0
INTERPRO	IPR001907:ClpP	3	0.3588516746411483	0.07966655553128402	SINMEB_0882, SINMEB_0461, SINMEB_2208	616	4	4890	5.953733766233766	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006303~double-strand break repair via nonhomologous end joining	3	0.3588516746411483	0.08039508179746867	SINMEB_4990, SINMEB_4834, SINMEB_4989	256	4	2016	5.90625	0.9999994953127257	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0813~Transport	83	9.92822966507177	0.08360384016942247	SINMEB_1571, SINMEB_4521, SINMEB_1570, SINMEB_2345, SINMEB_2344, SINMEB_2860, SINMEB_3199, SINMEB_2501, SINMEB_2864, SINMEB_2346, SINMEB_0448, SINMEB_3300, SINMEB_4752, SINMEB_4477, SINMEB_2251, SINMEB_1162, SINMEB_3301, SINMEB_0590, SINMEB_2257, SINMEB_6178, SINMEB_0112, SINMEB_2091, SINMEB_2090, SINMEB_4272, SINMEB_6176, SINMEB_1160, SINMEB_0915, SINMEB_2855, SINMEB_2898, SINMEB_1765, SINMEB_2853, SINMEB_1764, SINMEB_3948, SINMEB_1004, SINMEB_3622, SINMEB_0516, SINMEB_2856, SINMEB_4388, SINMEB_2088, SINMEB_2044, SINMEB_1031, SINMEB_4301, SINMEB_4666, SINMEB_3298, SINMEB_4387, SINMEB_2089, SINMEB_5390, SINMEB_2327, SINMEB_0302, SINMEB_2403, SINMEB_1996, SINMEB_3739, SINMEB_0741, SINMEB_4667, SINMEB_4668, SINMEB_1637, SINMEB_4349, SINMEB_2967, SINMEB_0744, SINMEB_5836, SINMEB_2845, SINMEB_2272, SINMEB_1146, SINMEB_6354, SINMEB_1740, SINMEB_1069, SINMEB_3004, SINMEB_1144, SINMEB_0131, SINMEB_5069, SINMEB_1583, SINMEB_3046, SINMEB_4491, SINMEB_2271, SINMEB_2270, SINMEB_4291, SINMEB_3605, SINMEB_3803, SINMEB_3128, SINMEB_1741, SINMEB_3127, SINMEB_2758, SINMEB_1867	192	511	1339	1.132756441617743	0.9984362717404895	1.0	1.0
UP_KW_LIGAND	KW-0500~Molybdenum	4	0.4784688995215311	0.08377074027777669	SINMEB_6178, SINMEB_2661, SINMEB_2756, SINMEB_2758	136	8	985	3.6213235294117645	0.9209101871259179	0.8097838226851746	0.8097838226851746
UP_SEQ_FEATURE	DOMAIN:Ku	3	0.3588516746411483	0.08433180953000487	SINMEB_4990, SINMEB_4834, SINMEB_4989	565	4	4346	5.769026548672566	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0020037~heme binding	11	1.3157894736842104	0.09307714430487649	SINMEB_0591, SINMEB_0590, SINMEB_2344, SINMEB_3004, SINMEB_4491, SINMEB_2898, SINMEB_4272, SINMEB_6176, SINMEB_2346, SINMEB_2408, SINMEB_4659	430	51	3453	1.7320109439124487	0.9999999999991918	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0503~Monooxygenase	5	0.5980861244019139	0.09334924570181978	SINMEB_4751, SINMEB_1502, SINMEB_3209, SINMEB_2248, SINMEB_4471	311	14	2419	2.7779053743683964	0.9820095877495019	0.5701799634147079	0.5562731350387394
INTERPRO	IPR023753:Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain	6	0.7177033492822966	0.09655434314269694	SINMEB_6269, SINMEB_2274, SINMEB_1901, SINMEB_1604, SINMEB_0404, SINMEB_1080	616	20	4890	2.381493506493506	1.0	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0560~Oxidoreductase	69	8.253588516746412	0.0973477986317794	SINMEB_0162, SINMEB_2583, SINMEB_2268, SINMEB_2345, SINMEB_1057, SINMEB_2387, SINMEB_6344, SINMEB_1099, SINMEB_2661, SINMEB_6185, SINMEB_3191, SINMEB_0804, SINMEB_0005, SINMEB_4924, SINMEB_2348, SINMEB_1259, SINMEB_2347, SINMEB_2820, SINMEB_1775, SINMEB_0404, SINMEB_0591, SINMEB_4751, SINMEB_1960, SINMEB_6178, SINMEB_2772, SINMEB_0352, SINMEB_4750, SINMEB_4272, SINMEB_4471, SINMEB_2819, SINMEB_0717, SINMEB_0311, SINMEB_0438, SINMEB_0516, SINMEB_1889, SINMEB_0558, SINMEB_3299, SINMEB_1593, SINMEB_1592, SINMEB_4424, SINMEB_0584, SINMEB_2883, SINMEB_1750, SINMEB_5390, SINMEB_2965, SINMEB_2248, SINMEB_2406, SINMEB_2275, SINMEB_2033, SINMEB_2274, SINMEB_5501, SINMEB_3401, SINMEB_0496, SINMEB_6354, SINMEB_2433, SINMEB_3125, SINMEB_4331, SINMEB_6355, SINMEB_6271, SINMEB_6270, SINMEB_3082, SINMEB_1502, SINMEB_3209, SINMEB_2837, SINMEB_1748, SINMEB_4811, SINMEB_1901, SINMEB_2835, SINMEB_4659	311	461	2419	1.164189410689749	0.9849914660785776	0.5701799634147079	0.5562731350387394
