ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
SinmeB_6206	3-octaprenyl-4-hydroxybenzoate carboxy-lyase(C770_RS22310)	Sinorhizobium meliloti GR4			GO:0016831~carboxy-lyase activity,	IPR002830:UbiD decarboxylyase family,
SinmeB_6197	AAA family ATPase(SM2011_RS03460)	Sinorhizobium meliloti 2011			GO:0005524~ATP binding,	IPR011704:ATPase, dynein-related, AAA domain,IPR013615:CbbQ/NirQ/NorQ C-terminal,IPR027417:P-loop containing nucleoside triphosphate hydrolase,									DOMAIN:AAA_5,DOMAIN:CbbQ_C,
SinmeB_5659	AAA family ATPase(SM2011_RS05685)	Sinorhizobium meliloti 2011			GO:0005524~ATP binding,	IPR003593:AAA+ ATPase domain,IPR010624:KaiC domain,IPR014774:Circadian clock protein KaiC/DNA repair protein RadA,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,			KW-0175~Coiled coil,KW-0677~Repeat,		KW-0418~Kinase,KW-0723~Serine/threonine-protein kinase,KW-0808~Transferase,		DOMAIN:KaiC,
SinmeB_6313	ABC transporter permease(C770_RS21755)	Sinorhizobium meliloti GR4	GO:0055085~transmembrane transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR000515:Binding-protein-dependent transport systems inner membrane component,			KW-0813~Transport,	KW-0472~Membrane,					DOMAIN:ABC transmembrane type-1,TRANSMEM:Helical,
SinmeB_6291	ABC transporter permease(C770_RS21865)	Sinorhizobium meliloti GR4		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0022857~transmembrane transporter activity,	IPR001851:ABC transporter, permease,				KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,				TRANSMEM:Helical,
SinmeB_6291	ABC transporter permease(SM2011_RS03920)	Sinorhizobium meliloti 2011		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0022857~transmembrane transporter activity,	IPR001851:ABC transporter, permease,				KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,				TRANSMEM:Helical,
SinmeB_6313	ABC transporter permease(SM2011_RS04030)	Sinorhizobium meliloti 2011	GO:0055085~transmembrane transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR000515:Binding-protein-dependent transport systems inner membrane component,			KW-0813~Transport,	KW-0472~Membrane,					DOMAIN:ABC transmembrane type-1,TRANSMEM:Helical,
SinmeB_6197	ATPase AAA(C770_RS22355)	Sinorhizobium meliloti GR4			GO:0005524~ATP binding,	IPR011704:ATPase, dynein-related, AAA domain,IPR013615:CbbQ/NirQ/NorQ C-terminal,IPR027417:P-loop containing nucleoside triphosphate hydrolase,									DOMAIN:AAA_5,DOMAIN:CbbQ_C,
SinmeB_6161	Crp/Fnr family transcriptional regulator(SM2011_RS03285)	Sinorhizobium meliloti 2011	GO:0006355~regulation of transcription, DNA-templated,		GO:0003677~DNA binding,	IPR000595:Cyclic nucleotide-binding domain,IPR012318:Helix-turn-helix motif, Crp-type,IPR014710:RmlC-like jelly roll fold,IPR018490:Cyclic nucleotide-binding-like,		SM00100:cNMP,SM00419:HTH_CRP,					KW-0238~DNA-binding,		DOMAIN:Cyclic nucleotide-binding,DOMAIN:HTH crp-type,
SinmeB_5742	DUF2092 domain-containing protein(SM2011_RS01705)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR006664:Outer membrane protein, bacterial,IPR006665:Outer membrane protein, OmpA/MotB, C-terminal,IPR019207:Protein of unknown function DUF2092, periplasmic,					KW-0732~Signal,				DOMAIN:OmpA-like,
