Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	21	10.396039603960396	4.919679839974957E-17	SMC01308, SMC01319, SMC01307, SMC01318, SMC03859, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC01295, SMC01298, SMC01287, SMC01300, SMC01299, SMC01321, SMC01302, SMC00565, SMC01303, SMC01306, SMC01305	117	53	3453	11.693759071117562	5.460844622372202E-15	5.460844622372202E-15	5.460844622372202E-15
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	18	8.91089108910891	1.3209037160713138E-16	SMC01308, SMC01307, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC04454, SMC01295, SMC01298, SMC01287, SMC01300, SMC01299, SMC01302, SMC00565, SMC01303, SMC01306, SMC01305	117	36	3453	14.756410256410255	1.2323475573339238E-14	7.331015624195792E-15	7.331015624195792E-15
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	19	9.405940594059405	4.163025764510997E-16	SMC01308, SMC01319, SMC01307, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC01295, SMC01298, SMC01287, SMC01300, SMC01299, SMC01321, SMC01302, SMC00565, SMC01303, SMC01306, SMC01305	101	38	2425	12.004950495049506	1.4654943925052066E-14	1.3737985022886289E-14	1.2905379869984091E-14
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	21	10.396039603960396	7.013073705188894E-15	SMC01308, SMC01319, SMC01307, SMC01318, SMC03859, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC01295, SMC01298, SMC01287, SMC01300, SMC01299, SMC01321, SMC01302, SMC00565, SMC01303, SMC01306, SMC01305	101	56	2425	9.003712871287128	2.3081536681957004E-13	7.714381075707783E-14	7.24684282869519E-14
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	21	10.396039603960396	7.013073705188894E-15	SMC01308, SMC01319, SMC01307, SMC01318, SMC03859, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC01295, SMC01298, SMC01287, SMC01300, SMC01299, SMC01321, SMC01302, SMC00565, SMC01303, SMC01306, SMC01305	101	56	2425	9.003712871287128	2.3081536681957004E-13	7.714381075707783E-14	7.24684282869519E-14
GOTERM_BP_DIRECT	GO:0006412~translation	22	10.891089108910892	9.60581664528025E-15	SMC01308, SMC01319, SMC01307, SMC01318, SMC03859, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC04454, SMC01295, SMC01298, SMC01287, SMC01300, SMC01299, SMC01321, SMC01302, SMC00565, SMC01303, SMC01306, SMC01305	90	61	2016	8.078688524590163	6.761258219967203E-13	6.628013485243373E-13	6.628013485243373E-13
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	21	10.396039603960396	2.2521131251137608E-14	SMC01308, SMC01319, SMC01307, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC04454, SMC01295, SMC01298, SMC01287, SMC01300, SMC00475, SMC01299, SMC01321, SMC01302, SMC00565, SMC01303, SMC01306, SMC01305	101	59	2425	8.545896962577613	7.437384041963924E-13	1.8579933282188527E-13	1.7453876719631646E-13
GOTERM_CC_DIRECT	GO:0005840~ribosome	15	7.425742574257425	2.185417545493593E-10	SMC01308, SMC01307, SMC01318, SMC03859, SMC01294, SMC01293, SMC01296, SMC01295, SMC01298, SMC01287, SMC01300, SMC01321, SMC01302, SMC00565, SMC01303	77	44	1971	8.726387249114524	3.278126103900547E-9	3.2781263182403894E-9	3.2781263182403894E-9
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	10	4.9504950495049505	9.660860614152468E-6	SM_B21294, SMC01280, SMC00913, SMC02376, SM_B22023, SMC02433, SM_B21566, SMA0744, SMA0745, SMC04040	52	41	1366	6.407129455909944	3.9601876236461386E-4	3.960952851802512E-4	3.960952851802512E-4
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	23	11.386138613861387	2.5314472401146716E-5	SMC01903, SMC00913, SM_B22023, SM_B21566, SMC02092, SMC01192, SMC02053, SMC00493, SMC04278, SMC04454, SMC00184, SMC02098, SMC02433, SMC00475, SMC02599, SMC01563, SMC01288, SMA0744, SMC01235, SMA0745, SMC01326, SMC02601	53	317	1778	2.434021784417594	2.2780718336268269E-4	2.2783025161032043E-4	2.2783025161032043E-4
