Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006412~translation	36	5.29411764705882	2.32E-18	SMC01308, SMC01307, SMC01804, SMC01309, SMC01290, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01302, SMC01301, SMC01304, SMC01303, SMC00335, SMC01306, SMC01305, SMC01319, SMC01318, SMC03859, SMC01292, SMC01291, SMC01294, SMC01293, SMC01296, SMC01295, SMC02101, SMC01298, SMC01297, SMC00485, SMC01299, SMC01310, SMC00565, SMC01313, SMC00567, SMC00568	239	61	2016	4.97811921256602	3.35E-16	3.35E-16	3.23E-16
GOTERM_BP_DIRECT	GO:0071973~bacterial-type flagellum-dependent cell motility	17	2.5	1.37E-14	SMC03020, SMC03032, SMC03040, SMC03030, SMC03024, SMC03035, SMC03047, SMC03014, SMC03034, SMC03028, SMC03039, SMC03029, SMC03037, SMC03027, SMC03049, SMC03038, SMC03019	239	17	2016	8.43514644351465	1.98E-12	9.90E-13	9.56E-13
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	13	1.91176470588235	1.33E-07	SMC03090, SMC03020, SMC03021, SMC03043, SMC03010, SMC03035, SMC03022, SMC03012, SMC03007, SMC01104, SMC03004, SMC03019, SMC03008	239	19	2016	5.77141598766792	1.92E-05	6.40E-06	6.18E-06
GOTERM_BP_DIRECT	GO:0019289~rhizobactin 1021 biosynthetic process	5	0.735294117647059	8.61E-04	SMA2404, SMA2406, SMA2400, SMA2410, SMA2402	239	5	2016	8.43514644351465	0.116701292574803	0.031009598981231	0.029932876794382
GOTERM_BP_DIRECT	GO:0007165~signal transduction	8	1.17647058823529	0.00200433990556	SMC00992, SMC03090, SMC03004, SMC01104, SMC00765, SMC01469, SMC03008, SMC00975	239	17	2016	3.96948067930101	0.250923814790179	0.048232421624265	0.046557684762311
GOTERM_BP_DIRECT	GO:0000271~polysaccharide biosynthetic process	11	1.61764705882353	0.002023893681825	SM_B20958, SM_B20957, SM_B20946, SM_B20959, SM_B20948, SM_B20960, SM_B20954, SM_B20956, SM_B20955, SMA1587, SM_B20944	239	31	2016	2.99311647995681	0.253034299474525	0.048232421624265	0.046557684762311
GOTERM_BP_DIRECT	GO:0019253~reductive pentose-phosphate cycle	5	0.735294117647059	0.002344631606735	SM_B20198, SM_B20197, SM_B20200, SM_B20199, SM_B20201	239	6	2016	7.02928870292887	0.286821383951544	0.048232421624265	0.046557684762311
GOTERM_BP_DIRECT	GO:0006457~protein folding	7	1.02941176470588	0.013814103152675	SMC00912, SMC02050, SMC01142, SM_B22023, SMC02136, SMA0745, SMC02857	239	18	2016	3.28033472803347	0.865083395291634	0.248653856748156	0.240020042277734
GOTERM_BP_DIRECT	GO:0044781~bacterial-type flagellum organization	4	0.588235294117647	0.024763855866204	SMC03051, SMC03052, SMC03025, SMC03050	239	6	2016	5.6234309623431	0.972972269933906	0.356599524473336	0.344217596540234
GOTERM_BP_DIRECT	GO:0019646~aerobic electron transport chain	4	0.588235294117647	0.024763855866204	SMC02255, SM_B21489, SMC01984, SMC01985	239	6	2016	5.6234309623431	0.972972269933906	0.356599524473336	0.344217596540234
GOTERM_BP_DIRECT	GO:0097588~archaeal or bacterial-type flagellum-dependent cell motility	3	0.441176470588235	0.038402142405962	SMC03021, SMC03043, SMC03022	239	3	2016	8.43514644351465	0.996443177950471	0.460825708871544	0.444824816202394
GOTERM_BP_DIRECT	GO:0019333~denitrification pathway	3	0.441176470588235	0.038402142405962	SMA1232, SMA1182, SMA1250	239	3	2016	8.43514644351465	0.996443177950471	0.460825708871544	0.444824816202394
												
												
												
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005840~ribosome	24	3.52941176470588	4.24E-10	SMC01308, SMC01307, SMC01318, SMC03859, SMC01804, SMC01309, SMC01283, SMC01294, SMC01293, SMC01296, SMC01295, SMC02692, SMC01298, SMC01297, SMC01300, SMC01310, SMC01321, SMC01302, SMC00565, SMC01301, SMC00567, SMC01303, SMC00335, SMC00568	263	44	1971	4.08779813342551	1.27E-08	1.27E-08	1.10E-08
GOTERM_CC_DIRECT	GO:0015934~large ribosomal subunit	7	1.02941176470588	3.26E-05	SMC01319, SMC01291, SMC03881, SMC01299, SMC01304, SMC01306, SMC01290	263	7	1971	7.49429657794677	9.78E-04	4.89E-04	4.24E-04
GOTERM_CC_DIRECT	GO:0009288~bacterial-type flagellum	6	0.882352941176471	2.15E-04	SMC03040, SMC03025, SMC03039, SMC03037, SMC03038, SMC03049	263	6	1971	7.49429657794677	0.006418557960448	0.002146184819504	0.00186002684357
GOTERM_CC_DIRECT	GO:0015935~small ribosomal subunit	5	0.735294117647059	0.001369675199008	SMC01292, SMC02101, SMC00485, SMC01313, SMC01305	263	5	1971	7.49429657794677	0.040284528057941	0.00843322140406	0.007308791883519
GOTERM_CC_DIRECT	GO:0009425~bacterial-type flagellum basal body	6	0.882352941176471	0.001592266180574	SMC03020, SMC03021, SMC03035, SMC03047, SMC03029, SMC03019	263	8	1971	5.62072243346008	0.046681339947608	0.00843322140406	0.007308791883519
GOTERM_CC_DIRECT	GO:0005576~extracellular region	8	1.17647058823529	0.001686644280812	SMC03040, SMC03039, SMC03037, SMC03048, SMC03038, SMC03049, SM_B20955, SMA1587	263	15	1971	3.99695817490494	0.049381114430417	0.00843322140406	0.007308791883519
GOTERM_CC_DIRECT	GO:0030694~bacterial-type flagellum basal body, rod	3	0.441176470588235	0.048182597359243	SMC03024, SMC03028, SMC03027	263	3	1971	7.49429657794677	0.772694873864631	0.206496845825328	0.178963933048617
												
												
												
