CHART																		
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR						
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	7	3.34928229665072	0.001148616463423	SINMEB_5276, SINMEB_2221, SINMEB_0654, SINMEB_0545, SINMEB_6197, SINMEB_0406, SINMEB_1118	135	32	3484	5.64537037037037	0.130825830609071	0.140131208537622	0.140131208537622						
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	7	3.34928229665072	0.002692809152841	SINMEB_3031, SINMEB_5276, SINMEB_1012, SINMEB_0654, SINMEB_1876, SINMEB_0047, SINMEB_0406	49	41	1337	4.65853658536585	0.092509232338618	0.096941129502264	0.096941129502264						
UP_KW_LIGAND	KW-0547~Nucleotide-binding	20	9.56937799043062	0.003042710330851	SINMEB_1399, SINMEB_2257, SINMEB_5276, SINMEB_2882, SINMEB_2221, SINMEB_0044, SINMEB_3584, SINMEB_1165, SINMEB_1050, SINMEB_1080, SINMEB_0915, SINMEB_0654, SINMEB_0545, SINMEB_1369, SINMEB_1005, SINMEB_1367, SINMEB_1604, SINMEB_2758, SINMEB_1757, SINMEB_0437	39	278	986	1.81885261021952	0.067689180019962	0.069982337609566	0.069982337609566						
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	8	3.82775119617225	0.005368351866877	SINMEB_0991, SINMEB_3014, SINMEB_1001, SINMEB_0993, SINMEB_0989, SINMEB_1977, SINMEB_1878, SINMEB_0987	94	56	2380	3.61702127659574	0.144527716474795	0.054884002553572	0.05299145074138						
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	8	3.82775119617225	0.005368351866877	SINMEB_0991, SINMEB_3014, SINMEB_1001, SINMEB_0993, SINMEB_0989, SINMEB_1977, SINMEB_1878, SINMEB_0987	94	56	2380	3.61702127659574	0.144527716474795	0.054884002553572	0.05299145074138						
UP_KW_MOLECULAR_FUNCTION	KW-0720~Serine protease	4	1.91387559808612	0.005677655436576	SINMEB_0882, SINMEB_1012, SINMEB_3617, SINMEB_2208	94	10	2380	10.1276595744681	0.152209057064021	0.054884002553572	0.05299145074138						
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	7	3.34928229665072	0.015036354701823	SINMEB_0991, SINMEB_3014, SINMEB_1001, SINMEB_0993, SINMEB_0989, SINMEB_1878, SINMEB_0987	135	53	3484	3.40852550663871	0.842505810235954	0.627298613099178	0.627298613099178						
UP_SEQ_FEATURE	DISULFID:Redox-active	3	1.43540669856459	0.017363042294196	SINMEB_3139, SINMEB_1604, SINMEB_1080	156	6	4331	13.8814102564103	0.962198535667241	1	1						
GOTERM_MF_DIRECT	GO:0050660~flavin adenine dinucleotide binding	6	2.87081339712919	0.019235766733393	SINMEB_1175, SINMEB_0487, SINMEB_1411, SINMEB_1604, SINMEB_0404, SINMEB_1080	135	41	3484	3.77669376693767	0.906484504232029	0.627298613099178	0.627298613099178						
GOTERM_BP_DIRECT	GO:0006412~translation	7	3.34928229665072	0.019367509788387	SINMEB_0991, SINMEB_3014, SINMEB_1001, SINMEB_0993, SINMEB_0989, SINMEB_1878, SINMEB_0987	73	61	2024	3.18167527509544	0.713976444201836	1	1						
UP_KW_LIGAND	KW-0067~ATP-binding	16	7.6555023923445	0.020216016498235	SINMEB_2472, SINMEB_1399, SINMEB_2257, SINMEB_5276, SINMEB_2882, SINMEB_2221, SINMEB_0044, SINMEB_3584, SINMEB_0915, SINMEB_0654, SINMEB_0545, SINMEB_1005, SINMEB_2758, SINMEB_1757, SINMEB_1118, SINMEB_0437	39	234	986	1.72868726714881	0.374830585074561	0.2324841897297	0.2324841897297						
GOTERM_MF_DIRECT	GO:0005524~ATP binding	27	12.9186602870813	0.020567167642596	SINMEB_1570, SINMEB_1399, SINMEB_5276, SINMEB_2882, SINMEB_2860, SINMEB_0044, SINMEB_2221, SINMEB_0825, SINMEB_2327, SINMEB_0545, SINMEB_1638, SINMEB_0406, SINMEB_1757, SINMEB_1118, SINMEB_1483, SINMEB_2472, SINMEB_1382, SINMEB_2257, SINMEB_3584, SINMEB_6197, SINMEB_0915, SINMEB_0654, SINMEB_3605, SINMEB_1005, SINMEB_3622, SINMEB_2758, SINMEB_0437	135	452	3484	1.54159292035398	0.920766597173715	0.627298613099178	0.627298613099178						
INTERPRO	IPR012340:Nucleic acid-binding, OB-fold	5	2.39234449760766	0.024841586774563	SINMEB_1399, SINMEB_1876, SINMEB_0993, SINMEB_1932, SINMEB_0987	167	33	4859	4.40845581564144	0.999880329597783	1	1						
INTERPRO	IPR016156:FAD/NAD-linked reductase, dimerisation	3	1.43540669856459	0.035665850233749	SINMEB_1604, SINMEB_0404, SINMEB_1080	167	9	4859	9.69860279441118	0.99999782384796	1	1						
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	5	2.39234449760766	0.04757147426286	SINMEB_0991, SINMEB_1001, SINMEB_0993, SINMEB_0989, SINMEB_0987	135	36	3484	3.5843621399177	0.997384515794412	1	1						
UP_KW_MOLECULAR_FUNCTION	KW-0378~Hydrolase	30	14.3540669856459	0.051440428911071	SINMEB_1570, SINMEB_1470, SINMEB_1454, SINMEB_1399, SINMEB_0882, SINMEB_1078, SINMEB_1012, SINMEB_2860, SINMEB_1154, SINMEB_1495, SINMEB_1050, SINMEB_2327, SINMEB_1611, SINMEB_1511, SINMEB_3617, SINMEB_1279, SINMEB_3875, SINMEB_1638, SINMEB_2208, SINMEB_1636, SINMEB_1118, SINMEB_2257, SINMEB_0376, SINMEB_1165, SINMEB_0915, SINMEB_3605, SINMEB_1369, SINMEB_2017, SINMEB_3622, SINMEB_2758	94	559	2380	1.35880942412363	0.783791031906005	0.339322477997186	0.327621702893835						
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	5	2.39234449760766	0.058503875516756	SINMEB_0991, SINMEB_1001, SINMEB_0993, SINMEB_0989, SINMEB_0987	94	38	2380	3.33146696528555	0.825924535407236	0.339322477997186	0.327621702893835						
GOTERM_MF_DIRECT	GO:0003676~nucleic acid binding	5	2.39234449760766	0.065699407110447	SINMEB_1470, SINMEB_1399, SINMEB_2441, SINMEB_1876, SINMEB_1932	135	40	3484	3.22592592592593	0.999749176524077	1	1						
INTERPRO	IPR016454:Cysteine desulfurase, NifS	2	0.956937799043062	0.06716646991441	SINMEB_1481, SINMEB_1485	167	2	4859	29.0958083832335	0.999999999985556	1	1						
GOTERM_MF_DIRECT	GO:0031071~cysteine desulfurase activity	2	0.956937799043062	0.075454404911891	SINMEB_1481, SINMEB_1485	135	2	3484	25.8074074074074	0.999930296157213	1	1						
PIR_SUPERFAMILY	PIRSF005572:cysteine desulfurase, NifS type	2	0.956937799043062	0.075939429423126	SINMEB_1481, SINMEB_1485	27	2	672	24.8888888888889	0.849751361323512	1	1						
