ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE							
SinmeB_4331	(2Fe-2S)-binding protein(SM2011_RS08245)	Sinorhizobium meliloti 2011			GO:0016491~oxidoreductase activity,GO:0046872~metal ion binding,GO:0047121~isoquinoline 1-oxidoreductase activity,GO:0051537~2 iron, 2 sulfur cluster binding,	IPR001041:2Fe-2S ferredoxin-type domain,IPR002888:[2Fe-2S]-binding,IPR006058:2Fe-2S ferredoxin, iron-sulphur binding site,IPR012675:Beta-grasp domain,							KW-0560~Oxidoreductase,		DOMAIN:2Fe-2S ferredoxin-type,							
SinmeB_2820	(2Fe-2S)-binding protein(SM2011_RS29625)	Sinorhizobium meliloti 2011			GO:0016491~oxidoreductase activity,GO:0046872~metal ion binding,GO:0051536~iron-sulfur cluster binding,	IPR001041:2Fe-2S ferredoxin-type domain,IPR002888:[2Fe-2S]-binding,IPR012675:Beta-grasp domain,							KW-0560~Oxidoreductase,		DOMAIN:2Fe-2S ferredoxin-type,							
SinmeB_1559	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase(folK)	Sinorhizobium meliloti 2011	GO:0046654~tetrahydrofolate biosynthetic process,GO:0046656~folic acid biosynthetic process,		GO:0003848~2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity,GO:0005524~ATP binding,GO:0016301~kinase activity,	IPR000550:7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK,			KW-0289~Folate biosynthesis,			KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0418~Kinase,KW-0808~Transferase,		DOMAIN:HPPK,							
SinmeB_0436	2-dehydro-3-deoxy-6-phosphogalactonate aldolase(SM2011_RS18515)	Sinorhizobium meliloti 2011	GO:0034194~D-galactonate catabolic process,		GO:0008674~2-dehydro-3-deoxy-6-phosphogalactonate aldolase activity,	IPR000887:KDPG/KHG aldolase,IPR013785:Aldolase-type TIM barrel,							KW-0456~Lyase,		ACT_SITE:Proton donor/acceptor,ACT_SITE:Schiff-base intermediate with substrate,BINDING:Substrate,BINDING:Substrate	 covalent,BINDING:Substrate	 via amide nitrogen,REGION:Substrate binding,SITE:Orients the nucleophilic substrate,SITE:Plays a major role in determining the stereoselectivity,					
SinmeB_0437	2-dehydro-3-deoxygalactonokinase(SM2011_RS18520)	Sinorhizobium meliloti 2011	GO:0034194~D-galactonate catabolic process,		GO:0005524~ATP binding,GO:0008671~2-dehydro-3-deoxygalactonokinase activity,	IPR007729:2-keto-3-deoxy-galactonokinase,						KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0418~Kinase,KW-0808~Transferase,									
SinmeB_6270	2Fe-2S iron-sulfur cluster-binding protein(SM2011_RS03815)	Sinorhizobium meliloti 2011			GO:0016491~oxidoreductase activity,GO:0051536~iron-sulfur cluster binding,	IPR001041:2Fe-2S ferredoxin-type domain,							KW-0560~Oxidoreductase,									
SinmeB_4735	3-oxoadipate:succinyl-CoA transferase subunit B(C770_RS26370)	Sinorhizobium meliloti GR4			GO:0047569~3-oxoadipate CoA-transferase activity,	IPR004165:Coenzyme A transferase family I,		SM00882:SM00882,					KW-0808~Transferase,									
SinmeB_1006	30S ribosomal protein S13(rpsM)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0000049~tRNA binding,GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR001892:Ribosomal protein S13,IPR010979:Ribosomal protein S13-like, H2TH,IPR018269:Ribosomal protein S13, conserved site,IPR019980:Ribosomal protein S13, bacterial-type,IPR027437:30s ribosomal protein S13, C-terminal,	PIRSF002134:ribosomal protein, S13p/S13a/S18e/organellar S13 types,						KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,KW-0820~tRNA-binding,		REGION:Disordered,							
SinmeB_3014	30S ribosomal protein S16(rpsP)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,	IPR000307:Ribosomal protein S16,IPR023803:Ribosomal protein S16 domain,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,		REGION:Disordered,							
SinmeB_0993	30S ribosomal protein S17(rpsQ)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000266:Ribosomal protein S17,IPR012340:Nucleic acid-binding, OB-fold,IPR019984:Ribosomal protein S17, bacterial-type,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,									
SinmeB_1878	30S ribosomal protein S21(rpsU)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,	IPR001911:Ribosomal protein S21,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,		REGION:Disordered,							
