Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR001029:Flagellin, D0/D1 domain	4	1.96078431372549	0.000292445492344	SMC03039, SMC03037, SMC03038, SMC03049	155	5	4890	25.2387096774193	0.098360805512356	0.034508568096603	0.034508568096603
INTERPRO	IPR001444:Flagellar basal body rod protein, N-terminal	4	1.96078431372549	0.000292445492344	SMC03030, SMC03024, SMC03047, SMC03028	155	5	4890	25.2387096774193	0.098360805512356	0.034508568096603	0.034508568096603
INTERPRO	IPR010930:Flagellar basal-body/hook protein, C-terminal domain	4	1.96078431372549	0.000292445492344	SMC03030, SMC03024, SMC03047, SMC03028	155	5	4890	25.2387096774193	0.098360805512356	0.034508568096603	0.034508568096603
INTERPRO	IPR020013:Fagellar hook-basal body protein, FlgE/F/G	3	1.47058823529412	0.002895386185376	SMC03030, SMC03024, SMC03047	155	3	4890	31.5483870967742	0.641724636792381	0.20499334192461	0.20499334192461
INTERPRO	IPR019776:Flagellar basal body rod protein, conserved site	3	1.47058823529412	0.002895386185376	SMC03030, SMC03047, SMC03028	155	3	4890	31.5483870967742	0.641724636792381	0.20499334192461	0.20499334192461
INTERPRO	IPR000194:ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain	3	1.47058823529412	0.005671023074515	SMC03025, SMC02501, SMC02796	155	4	4890	23.6612903225806	0.866446908425037	0.286791738339754	0.286791738339754
INTERPRO	IPR001492:Flagellin	3	1.47058823529412	0.005671023074515	SMC03039, SMC03037, SMC03038	155	4	4890	23.6612903225806	0.866446908425037	0.286791738339754	0.286791738339754
INTERPRO	IPR012340:Nucleic acid-binding, OB-fold	5	2.45098039215686	0.019021819426413	SMC01300, SMC02796, SMC00324, SMC00335, SMC01756	155	33	4890	4.78005865102639	0.998884655371435	0.84171550961877	0.84171550961877
INTERPRO	IPR003660:HAMP linker domain	4	1.96078431372549	0.030411677469523	SMC00992, SMC03004, SMC01104, SMC00975	155	22	4890	5.73607038123167	0.999982137953374	1	1
INTERPRO	IPR004089:Methyl-accepting chemotaxis protein (MCP) signalling domain	3	1.47058823529412	0.030675052563533	SMC03004, SMC01104, SMC00975	155	9	4890	10.5161290322581	0.999983775767549	1	1
