Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	7	3.349282296650718	0.0029766881764263834	SINMEB_3031, SINMEB_5276, SINMEB_1012, SINMEB_0654, SINMEB_1876, SINMEB_0047, SINMEB_0406	50	41	1339	4.57219512195122	0.101762333500104	0.1071607743513498	0.1071607743513498
UP_KW_MOLECULAR_FUNCTION	KW-0720~Serine protease	4	1.9138755980861244	0.006109636549574001	SINMEB_0882, SINMEB_1012, SINMEB_3617, SINMEB_2208	98	10	2419	9.873469387755103	0.16282564915108033	0.05995421629986585	0.05788682953090497
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	8	3.827751196172249	0.006202160306882675	SINMEB_0991, SINMEB_3014, SINMEB_1001, SINMEB_0993, SINMEB_0989, SINMEB_1977, SINMEB_1878, SINMEB_0987	98	56	2419	3.526239067055393	0.16508281143281955	0.05995421629986585	0.05788682953090497
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	8	3.827751196172249	0.006202160306882675	SINMEB_0991, SINMEB_3014, SINMEB_1001, SINMEB_0993, SINMEB_0989, SINMEB_1977, SINMEB_1878, SINMEB_0987	98	56	2419	3.526239067055393	0.16508281143281955	0.05995421629986585	0.05788682953090497
UP_KW_LIGAND	KW-0547~Nucleotide-binding	19	9.090909090909092	0.01173317017363867	SINMEB_1399, SINMEB_2257, SINMEB_5276, SINMEB_2882, SINMEB_2221, SINMEB_0044, SINMEB_3584, SINMEB_1165, SINMEB_1050, SINMEB_1080, SINMEB_0915, SINMEB_0654, SINMEB_0545, SINMEB_1005, SINMEB_1367, SINMEB_1604, SINMEB_2758, SINMEB_1757, SINMEB_0437	39	287	985	1.6720271598320378	0.2377331452464917	0.26986291399368945	0.26986291399368945
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	7	3.349282296650718	0.01461616188717406	SINMEB_0991, SINMEB_3014, SINMEB_1001, SINMEB_0993, SINMEB_0989, SINMEB_1878, SINMEB_0987	133	53	3453	3.4289970208540215	0.8291353647061255	0.8021419506384547	0.8021419506384547
GOTERM_MF_DIRECT	GO:0050660~flavin adenine dinucleotide binding	6	2.8708133971291865	0.016991970797963187	SINMEB_1175, SINMEB_0487, SINMEB_1411, SINMEB_1604, SINMEB_0404, SINMEB_1080	133	40	3453	3.894360902255639	0.8721066924120418	0.8021419506384547	0.8021419506384547
UP_SEQ_FEATURE	DISULFID:Redox-active	3	1.4354066985645932	0.017249077418994684	SINMEB_3139, SINMEB_1604, SINMEB_1080	156	6	4346	13.92948717948718	0.9613697910910498	1.0	1.0
GOTERM_BP_DIRECT	GO:0006412~translation	7	3.349282296650718	0.01849732287185639	SINMEB_0991, SINMEB_3014, SINMEB_1001, SINMEB_0993, SINMEB_0989, SINMEB_1878, SINMEB_0987	72	61	2016	3.2131147540983607	0.6972701367534724	1.0	1.0
GOTERM_MF_DIRECT	GO:0005524~ATP binding	27	12.918660287081341	0.020053548765961368	SINMEB_1570, SINMEB_1399, SINMEB_5276, SINMEB_2882, SINMEB_2860, SINMEB_0044, SINMEB_2221, SINMEB_0825, SINMEB_2327, SINMEB_0545, SINMEB_1638, SINMEB_0406, SINMEB_1757, SINMEB_1118, SINMEB_1483, SINMEB_2472, SINMEB_1382, SINMEB_2257, SINMEB_3584, SINMEB_6197, SINMEB_0915, SINMEB_0654, SINMEB_3605, SINMEB_1005, SINMEB_3622, SINMEB_2758, SINMEB_0437	133	454	3453	1.544019740982412	0.9120407859811795	0.8021419506384547	0.8021419506384547
