Annotation Cluster 1	Enrichment Score: 9.237328033645896
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	15	10.135135135135135	3.238639562731884E-12	SMC01308, SMC01319, SMC03859, SMC01290, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01321, SMC01302, SMC00565, SMC01306, SMC01305	79	53	3453	12.370432290422738	2.6880642156612566E-10	2.688070837067464E-10	2.688070837067464E-10
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	14	9.45945945945946	9.447252239696015E-12	SMC01308, SMC01319, SMC01290, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01321, SMC01302, SMC00565, SMC01306, SMC01305	71	38	2425	12.583395107487027	2.6452218193639965E-10	2.6452306271148845E-10	2.456285582320964E-10
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	12	8.108108108108109	1.451277312690024E-10	SMC01308, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01302, SMC00565, SMC01306, SMC01290, SMC01305	79	36	3453	14.569620253164556	1.204559796352811E-8	6.0228008476636E-9	6.0228008476636E-9
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	15	10.135135135135135	1.6539827080945712E-10	SMC01308, SMC01319, SMC03859, SMC01290, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01321, SMC01302, SMC00565, SMC01306, SMC01305	71	56	2425	9.148641851106639	4.631151018230639E-9	1.5437171942215998E-9	1.4334516803486282E-9
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	15	10.135135135135135	1.6539827080945712E-10	SMC01308, SMC01319, SMC03859, SMC01290, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01321, SMC01302, SMC00565, SMC01306, SMC01305	71	56	2425	9.148641851106639	4.631151018230639E-9	1.5437171942215998E-9	1.4334516803486282E-9
GOTERM_BP_DIRECT	GO:0006412~translation	15	10.135135135135135	8.830149715433731E-10	SMC01308, SMC01319, SMC03859, SMC01290, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01321, SMC01302, SMC00565, SMC01306, SMC01305	62	61	2016	7.9957694341618195	4.59167787125736E-8	4.5033763548712025E-8	4.5033763548712025E-8
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	14	9.45945945945946	4.411779752851126E-9	SMC01308, SMC01319, SMC01290, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01321, SMC01302, SMC00565, SMC01306, SMC01305	71	59	2425	8.104559560754355	1.2352982481367292E-7	3.088245826995788E-8	2.8676568393532322E-8
GOTERM_CC_DIRECT	GO:0005840~ribosome	9	6.081081081081082	2.6687837019817674E-5	SMC01308, SMC03859, SMC01294, SMC01296, SMC01295, SMC01300, SMC01321, SMC01302, SMC00565	59	44	1971	6.833204930662559	3.468863319239235E-4	3.469418812576298E-4	3.202540442378121E-4

Annotation Cluster 2	Enrichment Score: 2.000771449244227
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	8	5.405405405405405	9.791039038124452E-5	SM_B21294, SMC01280, SMC00913, SMC02376, SM_B22023, SM_B21566, SMA0744, SMC04040	40	41	1366	6.663414634146342	0.0032259863571717506	0.003231042882581069	0.003231042882581069
INTERPRO	IPR027410:TCP-1-like chaperonin intermediate domain	3	2.027027027027027	0.005057404792185418	SMC00913, SM_B21566, SMA0744	114	5	4890	25.736842105263154	0.7494695056042401	0.2301119180444365	0.2301119180444365
INTERPRO	IPR027413:GroEL-like equatorial domain	3	2.027027027027027	0.005057404792185418	SMC00913, SM_B21566, SMA0744	114	5	4890	25.736842105263154	0.7494695056042401	0.2301119180444365	0.2301119180444365
INTERPRO	IPR001844:Chaperonin Cpn60	3	2.027027027027027	0.005057404792185418	SMC00913, SM_B21566, SMA0744	114	5	4890	25.736842105263154	0.7494695056042401	0.2301119180444365	0.2301119180444365
INTERPRO	IPR002423:Chaperonin Cpn60/TCP-1	3	2.027027027027027	0.005057404792185418	SMC00913, SM_B21566, SMA0744	114	5	4890	25.736842105263154	0.7494695056042401	0.2301119180444365	0.2301119180444365
INTERPRO	IPR018370:Chaperonin Cpn60, conserved site	3	2.027027027027027	0.005057404792185418	SMC00913, SM_B21566, SMA0744	114	5	4890	25.736842105263154	0.7494695056042401	0.2301119180444365	0.2301119180444365
INTERPRO	IPR027409:GroEL-like apical domain	3	2.027027027027027	0.005057404792185418	SMC00913, SM_B21566, SMA0744	114	5	4890	25.736842105263154	0.7494695056042401	0.2301119180444365	0.2301119180444365
GOTERM_BP_DIRECT	GO:0042026~protein refolding	3	2.027027027027027	0.01249265207191928	SMC00913, SM_B21566, SMA0744	62	6	2016	16.258064516129032	0.47988729334517755	0.3185626278339416	0.3185626278339416
UP_SEQ_FEATURE	BINDING:ATP	5	3.3783783783783785	0.01612985882420033	SMC01192, SMC00913, SM_B21566, SMC01288, SMA0744	94	46	4348	5.027752081406105	0.9258613105542144	1.0	1.0
UP_SEQ_FEATURE	BINDING:ATP; via amide nitrogen	3	2.027027027027027	0.021956607845303434	SMC00913, SM_B21566, SMA0744	94	11	4348	12.615087040618956	0.9713384469141924	1.0	1.0
GOTERM_MF_DIRECT	GO:0051082~unfolded protein binding	3	2.027027027027027	0.038458412084151516	SMC00913, SM_B21566, SMA0744	79	14	3453	9.36618444846293	0.9614210822217404	0.7415923278961001	0.7415923278961001
UP_KW_MOLECULAR_FUNCTION	KW-0143~Chaperone	4	2.7027027027027026	0.06780233327092504	SMC00913, SM_B22023, SM_B21566, SMA0744	71	33	2425	4.139991463935126	0.8599689569014386	0.3796930663171802	0.35257213300881024
UP_KW_MOLECULAR_FUNCTION	KW-0413~Isomerase	5	3.3783783783783785	0.5169989235996341	SMC00913, SMC01275, SM_B21566, SMA0744, SMC00976	71	129	2425	1.3238344797466972	0.999999998585683	1.0	0.9629629629629629

Annotation Cluster 3	Enrichment Score: 1.5997252568128457
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_LIGAND	KW-0547~Nucleotide-binding	17	11.486486486486488	4.4219111662429945E-4	SMC00913, SM_B21566, SMC04282, SMC01192, SMC00493, SMC02376, SMC00154, SMC02599, SMC01288, SMA0744, SMC01005, SMC00059, SMC01235, SMC01169, SMC01326, SMC01215	27	283	981	2.182567726737338	0.008368278710263133	0.00840163121586169	0.00840163121586169
UP_KW_LIGAND	KW-0067~ATP-binding	11	7.4324324324324325	0.07575800087187144	SMC01192, SMC00913, SMC00493, SMC02376, SM_B21566, SMC01288, SMA0744, SMC00059, SMC01235, SMC01215, SMC04282	27	239	981	1.6722454672245466	0.7761648461688403	0.555065790522741	0.555065790522741
GOTERM_MF_DIRECT	GO:0005524~ATP binding	16	10.81081081081081	0.07995416882918517	SMC00913, SM_B22023, SM_B21344, SM_B21566, SM_B20941, SMC04282, SMC01192, SMC00493, SMC00185, SMC02376, SMC00175, SMC01288, SMA0744, SMC00059, SMC01235, SMC01215	79	454	3453	1.5404003791892042	0.9990087451341808	1.0	1.0
UP_SEQ_FEATURE	NP_BIND:ATP	10	6.756756756756757	0.1490113469515757	SMC00913, SMC00185, SM_B21344, SMC00175, SM_B21566, SMC01288, SMA0744, SM_B20941, SMC01235, SMC01215	94	283	4348	1.6344635741673559	0.9999999999938651	1.0	1.0

Annotation Cluster 4	Enrichment Score: 0.4495196395309948
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR011006:CheY-like superfamily	4	2.7027027027027026	0.20713766186253887	SMC04297, SMC01371, SMC01370, SMC04170	114	68	4890	2.523219814241486	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0000160~phosphorelay signal transduction system	4	2.7027027027027026	0.23874870341230725	SMC00191, SMC01371, SMC01370, SMC04170	62	56	2016	2.3225806451612905	0.9999993090313268	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Response regulatory	3	2.027027027027027	0.4072416353526934	SMC01371, SMC01370, SMC04170	94	65	4348	2.134860883797054	1.0	1.0	1.0
SMART	SM00448:REC	3	2.027027027027027	0.420260523687018	SMC01371, SMC01370, SMC04170	26	61	1075	2.0334174022698615	0.9999997652960123	1.0	1.0
INTERPRO	IPR001789:Signal transduction response regulator, receiver domain	3	2.027027027027027	0.4459058024122973	SMC01371, SMC01370, SMC04170	114	65	4890	1.9797570850202428	1.0	1.0	1.0
UP_KW_PTM	KW-0597~Phosphoprotein	6	4.054054054054054	0.5321917986737412	SMC01371, SMC01370, SMC04278, SMC00059, SMC00776, SMC04170	10	100	195	1.1700000000000002	0.9521070790299518	1.0	1.0

