ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE												
SM_b21558	(2Fe-2S)-binding protein(SM2011_RS11570)	Sinorhizobium meliloti 2011			GO:0016491~oxidoreductase activity,GO:0046872~metal ion binding,GO:0051537~2 iron, 2 sulfur cluster binding,	IPR001041:2Fe-2S ferredoxin-type domain,IPR002888:[2Fe-2S]-binding,IPR006058:2Fe-2S ferredoxin, iron-sulphur binding site,IPR006311:Twin-arginine translocation pathway, signal sequence,IPR012675:Beta-grasp domain,							KW-0560~Oxidoreductase,		DOMAIN:2Fe-2S ferredoxin-type,												
SM_b21640	1,2-phenylacetyl-CoA epoxidase subunit A(paaA)	Sinorhizobium meliloti 2011	GO:0010124~phenylacetate catabolic process,		GO:0097266~phenylacetyl-CoA 1,2-epoxidase activity,	IPR007814:Phenylacetic acid catabolic,IPR009078:Ferritin-like superfamily,IPR011881:Phenylacetate-CoA oxygenase, PaaG subunit,IPR012347:Ferritin-related,							KW-0560~Oxidoreductase,		REGION:Disordered,												
SM_b20019	2-oxo acid dehydrogenase subunit E2(SM2011_RS06690)	Sinorhizobium meliloti 2011			GO:0016746~transferase activity, transferring acyl groups,	IPR000089:Biotin/lipoyl attachment,IPR001078:2-oxoacid dehydrogenase acyltransferase, catalytic domain,IPR003016:2-oxo acid dehydrogenase, lipoyl-binding site,IPR004167:E3 binding,IPR011053:Single hybrid motif,IPR023213:Chloramphenicol acetyltransferase-like domain,					KW-0450~Lipoyl,		KW-0808~Transferase,		DOMAIN:Lipoyl-binding,DOMAIN:Peripheral subunit-binding (PSBD),REGION:Disordered,												
SMc03203	2-oxo acid dehydrogenase subunit E2(SM2011_RS29305)	Sinorhizobium meliloti 2011			GO:0016746~transferase activity, transferring acyl groups,	IPR000089:Biotin/lipoyl attachment,IPR001078:2-oxoacid dehydrogenase acyltransferase, catalytic domain,IPR003016:2-oxo acid dehydrogenase, lipoyl-binding site,IPR004167:E3 binding,IPR011053:Single hybrid motif,IPR023213:Chloramphenicol acetyltransferase-like domain,					KW-0450~Lipoyl,		KW-0012~Acyltransferase,KW-0808~Transferase,		COMPBIAS:Pro residues,DOMAIN:Lipoyl-binding,DOMAIN:Peripheral subunit-binding (PSBD),REGION:Disordered,												
SMa5031	2Fe-2S iron-sulfur cluster-binding protein(SM2011_RS03815)	Sinorhizobium meliloti 2011			GO:0016491~oxidoreductase activity,GO:0051536~iron-sulfur cluster binding,	IPR001041:2Fe-2S ferredoxin-type domain,							KW-0560~Oxidoreductase,														
SM_b21225	3'(2'),5'-bisphosphate nucleotidase CysQ(cysQ)	Sinorhizobium meliloti 1021	GO:0006790~sulfur compound metabolic process,GO:0046854~phosphatidylinositol phosphorylation,GO:0046855~inositol phosphate dephosphorylation,	GO:0005886~plasma membrane,	GO:0000287~magnesium ion binding,GO:0008441~3'(2'),5'-bisphosphate nucleotidase activity,	IPR000760:Inositol monophosphatase,IPR006240:3(2),5 -bisphosphate nucleotidase, bacterial,IPR020550:Inositol monophosphatase, conserved site,IPR020583:Inositol monophosphatase, metal-binding site,				KW-0472~Membrane,		KW-0460~Magnesium,	KW-0378~Hydrolase,		BINDING:Substrate,METAL:Magnesium 1,METAL:Magnesium 1	 via carbonyl oxygen,METAL:Magnesium 2,REGION:Substrate binding,											
SMc03201	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) subunit alpha(SM2011_RS29295)	Sinorhizobium meliloti 2011	GO:0009083~branched-chain amino acid catabolic process,		GO:0003863~3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity,	IPR001017:Dehydrogenase, E1 component,IPR022593:2-oxoisovalerate dehydrogenase, E1 alpha subunit, N-terminal,						KW-0786~Thiamine pyrophosphate,			DOMAIN:E1_dh,DOMAIN:OxoDH_E1alpha_N,												
SMa1285	3-octaprenyl-4-hydroxybenzoate carboxy-lyase(C770_RS22315)	Sinorhizobium meliloti GR4			GO:0016829~lyase activity,	IPR003382:Flavoprotein,IPR004507:Phenylacrylic acid decarboxylase,						KW-0288~FMN,	KW-0456~Lyase,		BINDING:DMAP,BINDING:FMN,DOMAIN:Flavoprotein,NP_BIND:FMN,												
SMc00335	30S ribosomal protein S1(rpsA)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003723~RNA binding,GO:0003735~structural constituent of ribosome,	IPR000110:Ribosomal protein S1,IPR003029:Ribosomal protein S1, RNA-binding domain,IPR012340:Nucleic acid-binding, OB-fold,IPR022967:RNA-binding domain, S1,	PIRSF002111:30S ribosomal protein S1,	SM00316:SM00316,			KW-0175~Coiled coil,KW-0677~Repeat,		KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,		DOMAIN:S1 motif,DOMAIN:S1 motif 1,DOMAIN:S1 motif 2,DOMAIN:S1 motif 3,DOMAIN:S1 motif 4,DOMAIN:S1 motif 5,DOMAIN:S1 motif 6,												
SMc01314	30S ribosomal protein S12(rpsL)	Sinorhizobium meliloti 1021	GO:0006412~translation,	GO:0015935~small ribosomal subunit,	GO:0000049~tRNA binding,GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR005679:Ribosomal protein S12, bacteria,IPR006032:Ribosomal protein S12/S23,IPR012340:Nucleic acid-binding, OB-fold,	PIRSF002133:ribosomal protein, S12p/S12a/S23e/organellar S12 types,						KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,KW-0820~tRNA-binding,	KW-0488~Methylation,													
