ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE			
SMa5031	(2Fe-2S)-binding protein(SM2011_RS03815)	Sinorhizobium meliloti 2011			GO:0009055~electron carrier activity,GO:0051536~iron-sulfur cluster binding,	IPR001041:2Fe-2S ferredoxin-type domain,							KW-0560~Oxidoreductase,					
SM_b21640	1,2-phenylacetyl-CoA epoxidase subunit A(paaA)	Sinorhizobium meliloti 2011	GO:0010124~phenylacetate catabolic process,		GO:0097266~phenylacetyl-CoA 1,2-epoxidase activity,	IPR007814:Phenylacetic acid catabolic,IPR009078:Ferritin-like superfamily,IPR011881:Phenylacetate-CoA oxygenase, PaaG subunit,IPR012347:Ferritin-related,									REGION:Disordered,			
SMc03201	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) subunit alpha(SM2011_RS29295)	Sinorhizobium meliloti 2011	GO:0009083~branched-chain amino acid catabolic process,		GO:0003826~alpha-ketoacid dehydrogenase activity,GO:0003863~3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity,	IPR001017:Dehydrogenase, E1 component,IPR022593:2-oxoisovalerate dehydrogenase, E1 alpha subunit, N-terminal,						KW-0786~Thiamine pyrophosphate,			DOMAIN:E1_dh,DOMAIN:OxoDH_E1alpha_N,			
SMc00335	30S ribosomal protein S1(rpsA)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003723~RNA binding,GO:0003735~structural constituent of ribosome,	IPR000110:Ribosomal protein S1,IPR003029:Ribosomal protein S1, RNA-binding domain,IPR012340:Nucleic acid-binding, OB-fold,IPR022967:RNA-binding domain, S1,	PIRSF002111:30S ribosomal protein S1,	SM00316:SM00316,			KW-0175~Coiled coil,KW-0677~Repeat,		KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,		DOMAIN:S1 motif,DOMAIN:S1 motif 1,DOMAIN:S1 motif 2,DOMAIN:S1 motif 3,DOMAIN:S1 motif 4,DOMAIN:S1 motif 5,DOMAIN:S1 motif 6,			
SMc01310	30S ribosomal protein S10(rpsJ)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0000049~tRNA binding,GO:0003735~structural constituent of ribosome,	IPR001848:Ribosomal protein S10,IPR018268:Ribosomal protein S10, conserved site,IPR027486:Ribosomal protein S10 domain,		SM01403:SM01403,					KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,		DOMAIN:Ribosomal_S10,			
SMc01314	30S ribosomal protein S12(rpsL)	Sinorhizobium meliloti 1021	GO:0006412~translation,	GO:0015935~small ribosomal subunit,	GO:0000049~tRNA binding,GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR005679:Ribosomal protein S12, bacteria,IPR006032:Ribosomal protein S12/S23,IPR012340:Nucleic acid-binding, OB-fold,	PIRSF002133:ribosomal protein, S12p/S12a/S23e/organellar S12 types,						KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,KW-0820~tRNA-binding,	KW-0488~Methylation,				
SMc03859	30S ribosomal protein S16(rpsP)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,	IPR000307:Ribosomal protein S16,IPR023803:Ribosomal protein S16 domain,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,		REGION:Disordered,			
SMc01300	30S ribosomal protein S17(rpsQ)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000266:Ribosomal protein S17,IPR012340:Nucleic acid-binding, OB-fold,IPR019984:Ribosomal protein S17, bacterial-type,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,					
SMc00567	30S ribosomal protein S18(SM2011_RS20110)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR001648:Ribosomal protein S18,IPR018275:Ribosomal protein S18, conserved site,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,					
SMc01305	30S ribosomal protein S19(rpsS)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015935~small ribosomal subunit,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR002222:Ribosomal protein S19/S15,IPR005732:Ribosomal protein S19, bacterial-type,IPR020934:Ribosomal protein S19 conserved site,IPR023575:Ribosomal protein S19, superfamily,	PIRSF002144:ribosomal protein, S19p/S19a/S15e/organellar S19 types,						KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,					
SMc02101	30S ribosomal protein S2(rpsB)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015935~small ribosomal subunit,	GO:0003735~structural constituent of ribosome,	IPR001865:Ribosomal protein S2,IPR005706:Ribosomal protein S2, bacteria/mitochondria/plastid,IPR018130:Ribosomal protein S2, conserved site,IPR023591:Ribosomal protein S2, flavodoxin-like domain,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,		REGION:Disordered,			
