ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
SM_b21157	 endoribonuclease L-PSP(C770_RS29485)	Sinorhizobium meliloti GR4				IPR006175:YjgF/Yer057p/UK114 family,
SM_b21640	1,2-phenylacetyl-CoA epoxidase subunit A(paaA)	Sinorhizobium meliloti 2011	GO:0010124~phenylacetate catabolic process,		GO:0097266~phenylacetyl-CoA 1,2-epoxidase activity,	IPR007814:Phenylacetic acid catabolic,IPR009078:Ferritin-like superfamily,IPR011881:Phenylacetate-CoA oxygenase, PaaG subunit,IPR012347:Ferritin-related,							KW-0560~Oxidoreductase,		REGION:Disordered,
SM_b21639	1,2-phenylacetyl-CoA epoxidase subunit B(paaB)	Sinorhizobium meliloti 2011			GO:0097266~phenylacetyl-CoA 1,2-epoxidase activity,	IPR009359:Phenylacetic acid degradation B,	PIRSF030200:phenylacetic acid degradation protein, PaaB type,						KW-0560~Oxidoreductase,
SMc04462	2-hydroxyacid dehydrogenase(SM2011_RS28965)	Sinorhizobium meliloti 2011			GO:0016616~oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,GO:0047964~glyoxylate reductase activity,GO:0051287~NAD binding,	IPR006139:D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain,IPR006140:D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding,						KW-0521~NADP,KW-0547~Nucleotide-binding,	KW-0560~Oxidoreductase,		BINDING:NADP,DOMAIN:2-Hacid_dh,DOMAIN:2-Hacid_dh_C,NP_BIND:NADP,
SMc02092	3-hydroxyacyl-ACP dehydratase FabZ(fabZ)	Sinorhizobium meliloti 2011	GO:0006633~fatty acid biosynthetic process,GO:0009245~lipid A biosynthetic process,	GO:0005737~cytoplasm,	GO:0004317~3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity,GO:0008659~(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity,GO:0008693~3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity,GO:0047451~3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity,	IPR010084:Beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ,IPR013114:Beta-hydroxyacyl-(acyl-carrier-protein) dehydratase, FabA/FabZ,			KW-0441~Lipid A biosynthesis,KW-0443~Lipid metabolism,KW-0444~Lipid biosynthesis,	KW-0963~Cytoplasm,			KW-0456~Lyase,
SMc01287	30S ribosomal protein S13(rpsM)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0000049~tRNA binding,GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR001892:Ribosomal protein S13,IPR010979:Ribosomal protein S13-like, H2TH,IPR018269:Ribosomal protein S13, conserved site,IPR019980:Ribosomal protein S13, bacterial-type,IPR027437:30s ribosomal protein S13, C-terminal,	PIRSF002134:ribosomal protein, S13p/S13a/S18e/organellar S13 types,						KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,KW-0820~tRNA-binding,		REGION:Disordered,
SMc01296	30S ribosomal protein S14(rpsN)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR001209:Ribosomal protein S14,IPR018271:Ribosomal protein S14, conserved site,IPR023036:Ribosomal protein S14, bacterial/plastid,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,
SMc03859	30S ribosomal protein S16(rpsP)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,	IPR000307:Ribosomal protein S16,IPR023803:Ribosomal protein S16 domain,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,		REGION:Disordered,
SMc01300	30S ribosomal protein S17(rpsQ)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000266:Ribosomal protein S17,IPR012340:Nucleic acid-binding, OB-fold,IPR019984:Ribosomal protein S17, bacterial-type,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,
SMc01305	30S ribosomal protein S19(rpsS)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015935~small ribosomal subunit,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR002222:Ribosomal protein S19/S15,IPR005732:Ribosomal protein S19, bacterial-type,IPR020934:Ribosomal protein S19 conserved site,IPR023575:Ribosomal protein S19, superfamily,	PIRSF002144:ribosomal protein, S19p/S19a/S15e/organellar S19 types,						KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,
SMc01303	30S ribosomal protein S3(rpsC)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003729~mRNA binding,GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR001351:Ribosomal protein S3, C-terminal,IPR004044:K Homology domain, type 2,IPR004087:K Homology domain,IPR005704:Ribosomal protein S3, bacterial,IPR009019:K homology domain, prokaryotic type,IPR015946:K homology domain-like, alpha/beta,IPR018280:Ribosomal protein S3, conserved site,		SM00322:KH,					KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,		DOMAIN:KH type-2,REGION:Disordered,
SMc01292	30S ribosomal protein S5(rpsE)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015935~small ribosomal subunit,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000851:Ribosomal protein S5,IPR005324:Ribosomal protein S5, C-terminal,IPR005712:Ribosomal protein S5, bacterial-type,IPR013810:Ribosomal protein S5, N-terminal,IPR014721:Ribosomal protein S5 domain 2-type fold, subgroup,IPR018192:Ribosomal protein S5, N-terminal, conserved site,IPR020568:Ribosomal protein S5 domain 2-type fold,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,		DOMAIN:S5 DRBM,
SMc01295	30S ribosomal protein S8(rpsH)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000630:Ribosomal protein S8,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,
SM_b21186	4-aminobutyrate aminotransferase(C770_RS29345)	Sinorhizobium meliloti GR4	GO:0009448~gamma-aminobutyric acid metabolic process,		GO:0030170~pyridoxal phosphate binding,GO:0034386~4-aminobutyrate:2-oxoglutarate transaminase activity,	IPR004632:4-aminobutyrate aminotransferase, bacterial,IPR005814:Aminotransferase class-III,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,	PIRSF000521:4-aminobutyrate/lysine/ornithine transaminase,				KW-0175~Coiled coil,		KW-0032~Aminotransferase,KW-0808~Transferase,
SM_b21186	4-aminobutyrate--2-oxoglutarate transaminase(SM2011_RS10885)	Sinorhizobium meliloti 2011	GO:0009448~gamma-aminobutyric acid metabolic process,		GO:0030170~pyridoxal phosphate binding,GO:0034386~4-aminobutyrate:2-oxoglutarate transaminase activity,	IPR004632:4-aminobutyrate aminotransferase, bacterial,IPR005814:Aminotransferase class-III,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,	PIRSF000521:4-aminobutyrate/lysine/ornithine transaminase,				KW-0175~Coiled coil,		KW-0032~Aminotransferase,KW-0808~Transferase,
SMc00988	4-hydroxybenzoate octaprenyltransferase(ubiA)	Sinorhizobium meliloti 2011	GO:0006744~ubiquinone biosynthetic process,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0002083~4-hydroxybenzoate decaprenyltransferase activity,GO:0008412~4-hydroxybenzoate octaprenyltransferase activity,GO:0047293~4-hydroxybenzoate nonaprenyltransferase activity,	IPR000537:UbiA prenyltransferase family,IPR006370:4-hydroxybenzoate polyprenyl transferase,			KW-0831~Ubiquinone biosynthesis,	KW-0472~Membrane,		KW-0460~Magnesium,			TRANSMEM:Helical,
SM_b20407	5-oxoprolinase (ATP-hydrolysing)(hyuB)	Sinorhizobium meliloti 1021			GO:0017168~5-oxoprolinase (ATP-hydrolyzing) activity,	IPR003692:Hydantoinase B/oxoprolinase,							KW-0378~Hydrolase,		DOMAIN:Hydantoinase_B,REGION:Disordered,
SMc01319	50S ribosomal protein L10(rplJ)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015934~large ribosomal subunit,	GO:0003735~structural constituent of ribosome,GO:0070180~large ribosomal subunit rRNA binding,	IPR001790:Ribosomal protein L10/acidic P0,IPR002363:Ribosomal protein L10, eubacterial, conserved site,IPR022973:Ribosomal protein L10,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,
SMc01321	50S ribosomal protein L11(rplK)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0070180~large ribosomal subunit rRNA binding,	IPR000911:Ribosomal protein L11,IPR006519:Ribosomal protein L11, bacterial-type,IPR020783:Ribosomal protein L11, C-terminal,IPR020784:Ribosomal protein L11, N-terminal,		SM00649:RL11,					KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,	KW-0488~Methylation,	DOMAIN:Ribosomal_L11,DOMAIN:Ribosomal_L11_N,
SMc01299	50S ribosomal protein L14(rplN)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015934~large ribosomal subunit,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000218:Ribosomal protein L14b/L23e,IPR005745:Ribosomal protein L14, bacterial-type,IPR019972:Ribosomal protein L14 conserved site,		SM01374:SM01374,					KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,
SMc01290	50S ribosomal protein L15(rplO)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015934~large ribosomal subunit,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR001196:Ribosomal protein L15, conserved site,IPR005749:Ribosomal protein L15, bacterial-type,IPR021131:Ribosomal protein L18e/L15P,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,		COMPBIAS:Basic and acidic residues,REGION:Disordered,
SMc01302	50S ribosomal protein L16(rplP)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0000049~tRNA binding,GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000114:Ribosomal protein L16,IPR016180:Ribosomal protein L10e/L16,IPR020798:Ribosomal protein L16, conserved site,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,KW-0820~tRNA-binding,		DOMAIN:Ribosomal_L16,
SMc01293	50S ribosomal protein L18(rplR)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR004389:Ribosomal protein L18, bacterial-type,IPR005484:Ribosomal protein L18/L5,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,
