Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006412~translation	27	5.31496062992126	4.86E-13	SMC01308, SMC01307, SMC01804, SMC01309, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01301, SMC01304, SMC01303, SMC00335, SMC01305, SMC01319, SMC03859, SMC01292, SMC01291, SMC01293, SMC01296, SMC01295, SMC01297, SMC01299, SMC00565, SMC01313, SMC00567, SMC00568	178	61	2016	5.01307791490146	5.79E-11	5.79E-11	5.54E-11
GOTERM_BP_DIRECT	GO:0071973~bacterial-type flagellum-dependent cell motility	13	2.55905511811024	6.17E-10	SMC03020, SMC03032, SMC03030, SMC03024, SMC03047, SMC03014, SMC03034, SMC03028, SMC03039, SMC03029, SMC03037, SMC03049, SMC03038	178	17	2016	8.66093853271646	7.34E-08	3.67E-08	3.52E-08
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	10	1.96850393700787	1.08E-05	SMC03020, SMC03021, SMC03043, SMC03010, SMC03022, SMC03012, SMC03090, SMC03004, SMC01104, SMC03008	178	19	2016	5.96096984033117	0.001290185938039	4.30E-04	4.12E-04
GOTERM_BP_DIRECT	GO:0000271~polysaccharide biosynthetic process	9	1.77165354330709	0.004079009056306	SM_B20958, SM_B20946, SM_B20959, SM_B20960, SM_B20954, SM_B20956, SM_B20955, SMA1587, SM_B20944	178	31	2016	3.28814787966655	0.385160953102123	0.121350519425092	0.11625175810471
GOTERM_BP_DIRECT	GO:0019289~rhizobactin 1021 biosynthetic process	4	0.787401574803149	0.005829197674723	SMA2404, SMA2400, SMA2410, SMA2402	178	5	2016	9.06067415730337	0.501276875366584	0.138734904658402	0.132905706983679
GOTERM_BP_DIRECT	GO:0019253~reductive pentose-phosphate cycle	4	0.787401574803149	0.01090905493471	SM_B20198, SM_B20197, SM_B20199, SM_B20201	178	6	2016	7.55056179775281	0.728911625183794	0.18545393389007	0.177661751793849
GOTERM_BP_DIRECT	GO:0019646~aerobic electron transport chain	4	0.787401574803149	0.01090905493471	SMC02255, SM_B21489, SMC01984, SMC01985	178	6	2016	7.55056179775281	0.728911625183794	0.18545393389007	0.177661751793849
GOTERM_BP_DIRECT	GO:0007165~signal transduction	6	1.18110236220472	0.012740977064175	SMC00992, SMC03090, SMC03004, SMC01104, SMC03008, SMC00975	178	17	2016	3.99735624586913	0.782578603197851	0.189522033829599	0.18155892316449
GOTERM_BP_DIRECT	GO:0019333~denitrification pathway	3	0.590551181102362	0.021673336860578	SMA1232, SMA1182, SMA1250	178	3	2016	11.3258426966292	0.926280412808527	0.25791270864088	0.247076040210591
GOTERM_BP_DIRECT	GO:0097588~archaeal or bacterial-type flagellum-dependent cell motility	3	0.590551181102362	0.021673336860578	SMC03021, SMC03043, SMC03022	178	3	2016	11.3258426966292	0.926280412808527	0.25791270864088	0.247076040210591
GOTERM_BP_DIRECT	GO:0006457~protein folding	5	0.984251968503937	0.066259020495774	SMC02050, SM_B22023, SMC02136, SMA0745, SMC02857	178	18	2016	3.14606741573034	0.999713619200858	0.716802130817916	0.686684394228928
GOTERM_BP_DIRECT	GO:0044781~bacterial-type flagellum organization	3	0.590551181102362	0.090851494328421	SMC03051, SMC03025, SMC03050	178	6	2016	5.66292134831461	0.999988045134924	0.900943985423506	0.863089196119998
												
												
												
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005840~ribosome	19	3.74015748031496	5.03E-08	SMC01308, SMC01307, SMC03859, SMC01804, SMC01309, SMC01283, SMC01293, SMC01296, SMC01295, SMC02692, SMC01297, SMC01300, SMC01321, SMC00565, SMC01301, SMC00567, SMC01303, SMC00335, SMC00568	199	44	1971	4.27695294655094	1.46E-06	1.46E-06	1.36E-06
GOTERM_CC_DIRECT	GO:0009288~bacterial-type flagellum	5	0.984251968503937	0.001261301238866	SMC03025, SMC03039, SMC03037, SMC03038, SMC03049	199	6	1971	8.25376884422111	0.03593911062502	0.018288867963563	0.017027566724696
GOTERM_CC_DIRECT	GO:0015934~large ribosomal subunit	5	0.984251968503937	0.002712306610981	SMC01319, SMC01291, SMC03881, SMC01299, SMC01304	199	7	1971	7.07465900933238	0.075741750692362	0.02621896390615	0.024410759498829
GOTERM_CC_DIRECT	GO:0005576~extracellular region	6	1.18110236220472	0.01261279311835	SMC03039, SMC03037, SMC03038, SMC03049, SM_B20955, SMA1587	199	15	1971	3.96180904522613	0.307950143287389	0.091442750108036	0.085136353548861
GOTERM_CC_DIRECT	GO:0009425~bacterial-type flagellum basal body	4	0.787401574803149	0.038217104366909	SMC03020, SMC03021, SMC03047, SMC03029	199	8	1971	4.95226130653266	0.676976268406457	0.221659205328074	0.20637236358131
GOTERM_CC_DIRECT	GO:0015935~small ribosomal subunit	3	0.590551181102362	0.081904284657398	SMC01292, SMC01313, SMC01305	199	5	1971	5.9427135678392	0.916102145069618	0.395870709177425	0.368569280958292
												
												
												
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	27	5.31496062992126	4.89E-17	SMC01308, SMC01307, SMC01804, SMC01309, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01301, SMC01304, SMC01303, SMC00335, SMC01305, SMC01319, SMC03859, SMC01292, SMC01291, SMC01293, SMC01296, SMC01295, SMC01297, SMC01299, SMC00565, SMC01313, SMC00567, SMC00568	244	53	3453	7.20932570368079	9.10E-15	9.10E-15	9.10E-15
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	18	3.54330708661417	3.79E-11	SMC01308, SMC01307, SMC01309, SMC01292, SMC01293, SMC01296, SMC01295, SMC03242, SMC01297, SMC01300, SMC01299, SMC00565, SMC01313, SMC01304, SMC00567, SMC01303, SMC01305, SMC00568	244	36	3453	7.07581967213115	7.06E-09	3.53E-09	3.53E-09
GOTERM_MF_DIRECT	GO:0004129~cytochrome-c oxidase activity	9	1.77165354330709	1.27E-05	SMA1273, SMA1220, SMA1182, SM_B21487, SM_B21489, SMC01982, SMA0765, SMC01984, SMC01985	244	18	3453	7.07581967213115	0.002351599307782	7.85E-04	7.85E-04
GOTERM_MF_DIRECT	GO:0005198~structural molecule activity	6	1.18110236220472	7.79E-05	SMC03032, SMC03039, SMC03029, SMC03037, SMC03038, SMC03049	244	8	3453	10.6137295081967	0.014382471093669	0.003621584299423	0.003621584299423
